site,date_coll,taxa,length_cm,reach_width,reach_length,ln_a,b,base,log,dw,area
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,8,2.5,20,-15.71396,3.078,2.718283032,-2.22608799,0.1079498,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4.5,2.5,20,-15.71396,3.078,2.718283032,-3.997058044,0.01836957,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4.5,2.5,20,-15.71396,3.078,2.718283032,-3.997058044,0.01836957,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5.5,2.5,20,-15.71396,3.078,2.718283032,-3.379393917,0.034068046,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5.5,2.5,20,-15.71396,3.078,2.718283032,-3.379393917,0.034068046,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5.5,2.5,20,-15.71396,3.078,2.718283032,-3.379393917,0.034068046,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5,2.5,20,-15.71396,3.078,2.718283032,-3.672758521,0.025406248,50
Kiwi,2.3.16,Gobiomorphus.huttoni,6.5,2.5,20,-15.71396,3.078,2.718283032,-2.865201672,0.056971568,50
Kiwi,2.3.16,Gobiomorphus.huttoni,2,2.5,20,-15.71396,3.078,2.718283032,-6.493100145,0.001513844,50
Kiwi,2.3.16,Gobiomorphus.huttoni,2.5,2.5,20,-15.71396,3.078,2.718283032,-5.806264598,0.00300864,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4.5,2.5,20,-15.71396,3.078,2.718283032,-3.997058044,0.01836957,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4.5,2.5,20,-15.71396,3.078,2.718283032,-3.997058044,0.01836957,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5,2.5,20,-15.71396,3.078,2.718283032,-3.672758521,0.025406248,50
Kiwi,2.3.16,Gobiomorphus.huttoni,6,2.5,20,-15.71396,3.078,2.718283032,-3.111573017,0.044530791,50
Kiwi,2.3.16,Gobiomorphus.huttoni,6.5,2.5,20,-15.71396,3.078,2.718283032,-2.865201672,0.056971568,50
Lankey,6.3.16,Salmo.trutta,8.6,1.75,20,-12.98521,3.05,2.718282172,0.600547537,1.823116889,35
Lankey,6.3.16,Salmo.trutta,9.8,1.75,20,-12.98521,3.05,2.718282172,0.998939043,2.715399719,35
Lankey,6.3.16,Salmo.trutta,10,1.75,20,-12.98521,3.05,2.718282172,1.060557292,2.887980377,35
Lankey,6.3.16,Salmo.trutta,10.8,1.75,20,-12.98521,3.05,2.718282172,1.295288438,3.65204981,35
Lankey,6.3.16,Salmo.trutta,12.6,1.75,20,-12.98521,3.05,2.718282172,1.765447952,5.844190992,35
Lankey,6.3.16,Salmo.trutta,18,1.75,20,-12.98521,3.05,2.718282172,2.853306394,17.34504291,35
Murray,6.3.16,Anguilla.australis,21.4,2.5,20,-17.3224,3.481,2.718282344,1.356558966,3.882810406,50
Murray,6.3.16,Anguilla.australis,22.8,2.5,20,-17.3224,3.481,2.718282344,1.57714855,4.841133314,50
Murray,6.3.16,Anguilla.australis,26.2,2.5,20,-17.3224,3.481,2.718282344,2.061003541,7.853850588,50
Murray,6.3.16,Anguilla.australis,31.6,2.5,20,-17.3224,3.481,2.718282344,2.713334846,15.07948725,50
Murray,6.3.16,Salmo.trutta,9.2,2.5,20,-12.98521,3.05,2.718282172,0.806243417,2.239479603,50
Murray,6.3.16,Salmo.trutta,9.4,2.5,20,-12.98521,3.05,2.718282172,0.871837335,2.391300702,50
Murray,6.3.16,Salmo.trutta,10.2,2.5,20,-12.98521,3.05,2.718282172,1.120955298,3.067783885,50
Murray,6.3.16,Salmo.trutta,10.4,2.5,20,-12.98521,3.05,2.718282172,1.180180452,3.254962,50
Murray,6.3.16,Salmo.trutta,10.6,2.5,20,-12.98521,3.05,2.718282172,1.238277439,3.449666625,50
